escala,motor,clase,nombre_consulta,regimen,repeticion,tiempo
5,oltp,alta_selectividad_join,consulta_3,frio,0,0.059859099997993326
5,oltp,alta_selectividad_join,consulta_3,caliente,1,0.0007259999983943999
5,oltp,alta_selectividad_join,consulta_3,caliente,2,0.0007718000015302096
5,oltp,alta_selectividad_join,consulta_3,caliente,3,0.0005436000028566923
5,oltp,alta_selectividad_join,consulta_3,caliente,4,0.0004517999987001531
5,oltp,alta_selectividad_join,consulta_3,caliente,5,0.0004521999981079716
5,oltp,joins_agregacion,consulta_1,frio,0,0.12014539999654517
5,oltp,joins_agregacion,consulta_1,caliente,1,0.06146480000097654
5,oltp,joins_agregacion,consulta_1,caliente,2,0.06712049999987357
5,oltp,joins_agregacion,consulta_1,caliente,3,0.06653589999768883
5,oltp,joins_agregacion,consulta_1,caliente,4,0.06462440000177594
5,oltp,joins_agregacion,consulta_1,caliente,5,0.06178660000296077
5,oltp,joins_agregacion,consulta_2,frio,0,0.06994459999987157
5,oltp,joins_agregacion,consulta_2,caliente,1,0.03771290000076988
5,oltp,joins_agregacion,consulta_2,caliente,2,0.031197200001770398
5,oltp,joins_agregacion,consulta_2,caliente,3,0.03206280000085826
5,oltp,joins_agregacion,consulta_2,caliente,4,0.03149950000079116
5,oltp,joins_agregacion,consulta_2,caliente,5,0.030958800001826603
5,oltp,joins_agregacion,consulta_3,frio,0,0.0497726000030525
5,oltp,joins_agregacion,consulta_3,caliente,1,0.023153000001912005
5,oltp,joins_agregacion,consulta_3,caliente,2,0.01967020000302
5,oltp,joins_agregacion,consulta_3,caliente,3,0.020894099998258753
5,oltp,joins_agregacion,consulta_3,caliente,4,0.017963700000109384
5,oltp,joins_agregacion,consulta_3,caliente,5,0.017423399996914668
10,estrella,agregacion_simple,consulta1,frio,0,0.0049503000009281095
10,estrella,agregacion_simple,consulta1,caliente,1,0.004464500001631677
10,estrella,agregacion_simple,consulta1,caliente,2,0.004271300000254996
10,estrella,agregacion_simple,consulta1,caliente,3,0.003630300001532305
10,estrella,agregacion_simple,consulta1,caliente,4,0.003962499999033753
10,estrella,agregacion_simple,consulta1,caliente,5,0.003719799999089446
10,estrella,agregacion_simple,consulta2,frio,0,0.0063655000012659
10,estrella,agregacion_simple,consulta2,caliente,1,0.005408799999713665
10,estrella,agregacion_simple,consulta2,caliente,2,0.005085299999336712
10,estrella,agregacion_simple,consulta2,caliente,3,0.0051050000001851
10,estrella,agregacion_simple,consulta2,caliente,4,0.005424200000561541
